country,year,region_wb,region_un,region_un_sub,incomegroup,population,gdp,gini,palma,bottom20,top20
Afghanistan,2008,South Asia,Asia,Southern Asia,Low income,26482622.0,2191.50439453125,44.35269546508789,2.331067085266113,5.347486019134521,40.8371696472168
Afghanistan,2012,South Asia,Asia,Southern Asia,Low income,30560034.0,2985.319091796875,42.87785339355469,2.124521017074585,5.436524391174316,39.98798751831055
Afghanistan,2017,South Asia,Asia,Southern Asia,Low income,35688932.0,2952.9990234375,44.96758651733398,2.363820552825928,5.3521409034729,41.37654495239258
Angola,2001,Sub-Saharan Africa,Africa,Middle Africa,Lower middle income,16747207.0,6049.1630859375,63.14531707763672,8.038034439086914,1.045088171958923,45.31700897216797
Angola,2009,Sub-Saharan Africa,Africa,Middle Africa,Lower middle income,22414774.0,9629.091796875,56.44181442260742,4.853070259094238,2.568217992782593,43.38883590698242
Angola,2019,Sub-Saharan Africa,Africa,Middle Africa,Lower middle income,32375632.0,8274.54296875,62.70716857910156,7.742680549621582,1.33559250831604,45.350341796875
Albania,1996,Europe and Central Asia,Europe,Southern Europe,Upper middle income,3245678.0,5499.07568359375,32.30951690673828,1.203372478485107,6.824776649475098,35.26468276977539
Albania,2002,Europe and Central Asia,Europe,Southern Europe,Upper middle income,3134092.0,7565.8212890625,36.16999053955078,1.52031147480011,6.175179004669189,36.99121475219727
Albania,2005,Europe and Central Asia,Europe,Southern Europe,Upper middle income,3076159.0,9006.646484375,35.25084686279297,1.449124693870544,6.24625825881958,36.38994598388672
Albania,2008,Europe and Central Asia,Europe,Southern Europe,Upper middle income,2992930.0,11103.7705078125,34.76229858398438,1.41782283782959,6.596148490905762,36.22393417358398
Albania,2012,Europe and Central Asia,Europe,Southern Europe,Upper middle income,2910004.0,12577.755859375,34.01687622070313,1.348219037055969,6.560158729553223,35.87617874145508
Albania,2014,Europe and Central Asia,Europe,Southern Europe,Upper middle income,2903749.0,12979.7646484375,38.49211502075195,1.704094290733337,5.090836524963379,38.05150604248047
Albania,2015,Europe and Central Asia,Europe,Southern Europe,Upper middle income,2898632.0,13306.443359375,37.01697158813477,1.565927386283875,5.640411376953125,37.49625778198242
Albania,2016,Europe and Central Asia,Europe,Southern Europe,Upper middle income,2897867.0,13769.546875,37.80878829956055,1.631103157997131,5.312032222747803,37.86320495605469
Albania,2017,Europe and Central Asia,Europe,Southern Europe,Upper middle income,2898242.0,14306.298828125,37.27224731445313,1.582691192626953,5.502846717834473,37.65105056762695
Albania,2018,Europe and Central Asia,Europe,Southern Europe,Upper middle income,2894231.0,14918.0810546875,36.20555877685547,1.492254495620728,5.686019897460938,37.09403228759766
Albania,2019,Europe and Central Asia,Europe,Southern Europe,Upper middle income,2885010.0,15290.77734375,35.43398284912109,1.430407762527466,6.086956977844238,36.82158660888672
Albania,2020,Europe and Central Asia,Europe,Southern Europe,Upper middle income,2871954.0,14869.2197265625,34.49974822998047,1.360496282577515,6.43549633026123,36.50444793701172
Andorra,2003,Europe and Central Asia,Europe,Southern Europe,High income,69486.0,63656.1953125,29.87740898132324,1.117326021194458,8.762115478515625,34.15925598144531
Andorra,2016,Europe and Central Asia,Europe,Southern Europe,High income,72181.0,64402.80859375,30.46373176574707,1.127095103263855,8.56428337097168,34.77738571166992
United Arab Emirates,2015,Middle East and North Africa,Asia,Western Asia,High income,8674633.0,70234.734375,32.58675765991211,1.174151182174683,6.209378719329834,35.41554641723633
United Arab Emirates,2019,Middle East and North Africa,Asia,Western Asia,High income,9377847.0,68887.84375,26.38121032714844,0.8908220529556274,8.189996719360352,31.83128547668457
Argentina,1991,Latin America and the Caribbean,Americas,South America,Upper middle income,33230292.0,18295.609375,44.50272750854492,2.339018106460571,4.509813785552979,40.46280670166016
Argentina,1992,Latin America and the Caribbean,Americas,South America,Upper middle income,33693528.0,19476.283203125,43.18421936035156,2.173126459121704,4.410306930541992,40.02095413208008
Argentina,1993,Latin America and the Caribbean,Americas,South America,Upper middle income,34152720.0,20791.345703125,42.5521240234375,2.105582475662231,4.259839057922363,39.61914443969727
Argentina,1994,Latin America and the Caribbean,Americas,South America,Upper middle income,34613492.0,21711.84375,43.42087936401367,2.220072984695435,4.270306587219238,39.94744491577148
Argentina,1995,Latin America and the Caribbean,Americas,South America,Upper middle income,35070020.0,20819.5,46.2818489074707,2.57640552520752,3.720721483230591,41.3011474609375
Argentina,1996,Latin America and the Caribbean,Americas,South America,Upper middle income,35513792.0,21695.595703125,46.66117095947266,2.626986980438232,3.569509506225586,41.4981803894043
Argentina,1997,Latin America and the Caribbean,Americas,South America,Upper middle income,35947788.0,23172.158203125,46.54875183105469,2.611972808837891,3.489917278289795,41.54216384887695
Argentina,1998,Latin America and the Caribbean,Americas,South America,Upper middle income,36372860.0,23783.1015625,48.29580307006836,2.882656335830688,3.261043787002563,42.05289077758789
Argentina,1999,Latin America and the Caribbean,Americas,South America,Upper middle income,36794684.0,22714.51171875,47.24695587158203,2.727467060089111,3.399925231933594,41.67948913574219
Argentina,2000,Latin America and the Caribbean,Americas,South America,Upper middle income,37213984.0,22281.380859375,48.60055160522461,2.942260503768921,3.070306777954102,42.32072448730469
Argentina,2001,Latin America and the Caribbean,Americas,South America,Upper middle income,37624824.0,21066.458984375,50.30886459350586,3.293962240219116,2.439513444900513,42.61432647705078
Argentina,2002,Latin America and the Caribbean,Americas,South America,Upper middle income,38029348.0,18571.701171875,49.57981109619141,3.35285210609436,2.45397424697876,42.13942718505859
Argentina,2003,Latin America and the Caribbean,Americas,South America,Upper middle income,38424280.0,20005.138671875,46.45701599121094,2.6108717918396,3.96999979019165,41.15143585205078
Argentina,2004,Latin America and the Caribbean,Americas,South America,Upper middle income,38815916.0,21591.44921875,43.68535995483398,2.243115663528442,4.519999027252197,40.63721466064453
Argentina,2005,Latin America and the Caribbean,Americas,South America,Upper middle income,39216788.0,23262.408203125,42.74930191040039,2.129701137542725,5.070507526397705,40.41551971435547
Argentina,2006,Latin America and the Caribbean,Americas,South America,Upper middle income,39622112.0,24877.25,44.00527954101563,2.283030986785889,5.140000343322754,41.1623420715332
Argentina,2007,Latin America and the Caribbean,Americas,South America,Upper middle income,40016760.0,26850.6640625,43.54341888427734,2.250336170196533,5.219479084014893,40.75615310668945
Argentina,2008,Latin America and the Caribbean,Americas,South America,Upper middle income,40424148.0,27658.484375,41.24136352539063,1.95783519744873,5.679999351501465,40.13917922973633
Argentina,2009,Latin America and the Caribbean,Americas,South America,Upper middle income,40854832.0,25747.197265625,41.41695404052734,1.996192574501038,5.480001449584961,39.6954231262207
Argentina,2010,Latin America and the Caribbean,Americas,South America,Upper middle income,41288696.0,28056.2578125,41.01544189453125,1.937616348266602,5.770578384399414,40.0462760925293
Argentina,2011,Latin America and the Caribbean,Americas,South America,Upper middle income,41730660.0,29425.759765625,40.49260711669922,1.875229477882385,5.85999870300293,39.64938735961914
Argentina,2012,Latin America and the Caribbean,Americas,South America,Upper middle income,42161724.0,28825.966796875,39.44107818603516,1.787477254867554,6.030001163482666,38.94749069213867
Argentina,2013,Latin America and the Caribbean,Americas,South America,Upper middle income,42582452.0,29227.66015625,39.43170928955078,1.804216265678406,6.030604362487793,38.52150726318359
Argentina,2014,Latin America and the Caribbean,Americas,South America,Upper middle income,43024072.0,28200.814453125,39.24321365356445,1.745432376861572,6.210620403289795,39.35758209228516
Argentina,2016,Latin America and the Caribbean,Americas,South America,Upper middle income,43900312.0,27802.10546875,39.20271301269531,1.768013715744019,6.270000457763672,39.12374114990234
Argentina,2017,Latin America and the Caribbean,Americas,South America,Upper middle income,44288896.0,28334.904296875,39.03395080566406,1.748517036437988,6.170000076293945,39.00477600097656
Argentina,2018,Latin America and the Caribbean,Americas,South America,Upper middle income,44654884.0,27367.115234375,38.97871398925781,1.749852657318115,6.169999122619629,38.68612289428711
Argentina,2019,Latin America and the Caribbean,Americas,South America,Upper middle income,44973464.0,26629.552734375,40.35306930541992,1.88733184337616,5.979401111602783,39.43770217895508
Argentina,2020,Latin America and the Caribbean,Americas,South America,Upper middle income,45191964.0,23877.09375,39.54307556152344,1.815411686897278,5.939404487609863,39.10324096679688
Argentina,2021,Latin America and the Caribbean,Americas,South America,Upper middle income,45312280.0,26300.2734375,39.08274841308594,1.772121906280518,6.290000915527344,38.68383407592773
Argentina,2022,Latin America and the Caribbean,Americas,South America,Upper middle income,45407904.0,27627.962890625,37.71510314941406,1.63982081413269,6.709330081939697,38.60514068603516
Argentina,2023,Latin America and the Caribbean,Americas,South America,Upper middle income,45538404.0,27104.98046875,40.06334686279297,1.852975249290466,6.191239356994629,39.46793746948242
Armenia,1996,Europe and Central Asia,Asia,Western Asia,Upper middle income,3278735.0,3717.335693359375,44.14278030395508,2.360589027404785,5.538893699645996,40.79277801513672
Armenia,1999,Europe and Central Asia,Asia,Western Asia,Upper middle income,3167286.0,4406.96728515625,42.36909103393555,2.133033514022827,5.443669319152832,39.76072692871094
Armenia,2001,Europe and Central Asia,Asia,Western Asia,Upper middle income,3084349.0,5044.11669921875,41.75436401367188,2.055904626846313,5.614840984344482,39.77263259887695
Armenia,2002,Europe and Central Asia,Asia,Western Asia,Upper middle income,3055630.0,5731.353515625,41.26839447021484,2.007370948791504,5.862414360046387,39.49153518676758
Armenia,2003,Europe and Central Asia,Asia,Western Asia,Upper middle income,3038968.0,6569.26025390625,39.75832366943359,1.869818925857544,6.410768508911133,38.69392395019531
Armenia,2004,Europe and Central Asia,Asia,Western Asia,Upper middle income,3022541.0,7299.39990234375,43.31242370605469,2.249032020568848,5.475905895233154,40.14337539672852
Armenia,2005,Europe and Central Asia,Asia,Western Asia,Upper middle income,3006351.0,8362.900390625,42.06329727172852,2.106173038482666,5.881768226623535,39.64968872070313
Armenia,2006,Europe and Central Asia,Asia,Western Asia,Upper middle income,2990377.0,9525.2314453125,37.31336975097656,1.629213452339172,6.599340915679932,37.49625396728516
Armenia,2007,Europe and Central Asia,Asia,Western Asia,Upper middle income,2974819.0,10898.8486328125,38.54115295410156,1.723876237869263,6.170618057250977,38.26382827758789
Armenia,2008,Europe and Central Asia,Asia,Western Asia,Upper middle income,2959990.0,11727.482421875,36.81921768188477,1.577629327774048,6.77932071685791,37.43624877929688
Armenia,2009,Europe and Central Asia,Asia,Western Asia,Upper middle income,2945517.0,10143.2353515625,35.93828201293945,1.501895070075989,6.982094764709473,37.08111953735352
Armenia,2010,Europe and Central Asia,Asia,Western Asia,Upper middle income,2931078.0,10438.564453125,37.42373275756836,1.640668630599976,6.772549629211426,37.72849655151367
Armenia,2011,Europe and Central Asia,Asia,Western Asia,Upper middle income,2923271.0,10990.1767578125,37.03943634033203,1.597206711769104,6.676007747650146,37.53377914428711
Armenia,2012,Europe and Central Asia,Asia,Western Asia,Upper middle income,2922528.0,11796.2744140625,37.23949432373047,1.627099633216858,6.622649669647217,37.43497848510742
Armenia,2013,Europe and Central Asia,Asia,Western Asia,Upper middle income,2922518.0,12194.0185546875,37.99990081787109,1.682237982749939,6.32316255569458,37.91896438598633
Armenia,2014,Europe and Central Asia,Asia,Western Asia,Upper middle income,2922422.0,12667.3759765625,38.67593002319336,1.761290311813354,6.197520732879639,37.99480056762695
Armenia,2015,Europe and Central Asia,Asia,Western Asia,Upper middle income,2921177.0,13112.759765625,39.34997177124023,1.834125995635986,6.0191650390625,38.11140060424805
Armenia,2016,Europe and Central Asia,Asia,Western Asia,Upper middle income,2918793.0,13192.994140625,39.44897842407227,1.831994891166687,5.732294082641602,38.30532836914063
Armenia,2017,Europe and Central Asia,Asia,Western Asia,Upper middle income,2914963.0,14243.875,40.27528381347656,1.914880871772766,6.124078273773193,38.84899139404297
Armenia,2018,Europe and Central Asia,Asia,Western Asia,Upper middle income,2909965.0,15037.044921875,40.97048187255859,1.996960639953613,5.904058933258057,38.97476959228516
Armenia,2019,Europe and Central Asia,Asia,Western Asia,Upper middle income,2903972.0,16215.3603515625,37.52494049072266,1.660313963890076,6.596703052520752,37.5112419128418
Armenia,2020,Europe and Central Asia,Asia,Western Asia,Upper middle income,2890892.0,15052.935546875,33.6699333190918,1.344636082649231,7.663829803466797,35.94796752929688
Armenia,2021,Europe and Central Asia,Asia,Western Asia,Upper middle income,2870349.0,15921.705078125,35.94476699829102,1.516908168792725,7.004202365875244,36.95217132568359
Armenia,2022,Europe and Central Asia,Asia,Western Asia,Upper middle income,2880874.0,17886.177734375,35.95145797729492,1.514705896377563,6.816135883331299,36.81313323974609
Australia,1990,East Asia and the Pacific,Oceania,Australia and New Zealand,High income,17126298.0,35669.640625,33.11358642578125,1.258146286010742,7.269997596740723,35.99948883056641
Australia,1995,East Asia and the Pacific,Oceania,Australia and New Zealand,High income,18095344.0,38014.328125,32.95206451416016,1.252525210380554,7.320731163024902,35.98333358764648
Australia,2001,East Asia and the Pacific,Oceania,Australia and New Zealand,High income,19365434.0,44667.92578125,33.73526763916016,1.303987383842468,7.199280261993408,36.23339080810547
Australia,2003,East Asia and the Pacific,Oceania,Australia and New Zealand,High income,19819454.0,46798.08984375,33.73308944702148,1.303672313690186,7.200720310211182,36.16597747802734
Australia,2004,East Asia and the Pacific,Oceania,Australia and New Zealand,High income,20046678.0,48256.25,33.15796279907227,1.280382990837097,7.630762577056885,35.83639526367188
Australia,2008,East Asia and the Pacific,Oceania,Australia and New Zealand,High income,21370590.0,51577.07421875,35.47835159301758,1.46243941783905,7.169999599456787,36.28150939941406
Australia,2010,East Asia and the Pacific,Oceania,Australia and New Zealand,High income,22141580.0,51811.78125,34.81796264648438,1.397996425628662,7.150001049041748,36.39349746704102
Australia,2014,East Asia and the Pacific,Oceania,Australia and New Zealand,High income,23595602.0,54470.16015625,34.47391128540039,1.388518333435059,7.350733757019043,35.80694580078125
Australia,2016,East Asia and the Pacific,Oceania,Australia and New Zealand,High income,24329962.0,55507.9765625,33.7542724609375,1.324628472328186,7.320731163024902,35.52577209472656
Australia,2018,East Asia and the Pacific,Oceania,Australia and New Zealand,High income,25119706.0,56600.4375,34.3399658203125,1.377387285232544,7.209999084472656,35.62479019165039
Austria,1995,Europe and Central Asia,Europe,Western Europe,High income,7950322.0,47146.75390625,30.82651519775391,1.137783885002136,8.020801544189453,34.31157302856445
Austria,1998,Europe and Central Asia,Europe,Western Europe,High income,7978466.0,50762.82421875,29.08555221557617,1.03749418258667,8.390839576721191,33.71699142456055
Austria,2001,Europe and Central Asia,Europe,Western Europe,High income,8042233.0,54619.76953125,29.00444793701172,1.045495748519897,8.600857734680176,33.6031379699707
Austria,2004,Europe and Central Asia,Europe,Western Europe,High income,8173491.0,56589.03515625,29.56534004211426,1.080127596855164,8.4491548538208,33.52140045166016
Austria,2005,Europe and Central Asia,Europe,Western Europe,High income,8229204.0,57508.98046875,29.89984512329102,1.100781917572021,8.518298149108887,33.86230850219727
Austria,2006,Europe and Central Asia,Europe,Western Europe,High income,8269898.5,59096.01171875,28.75647926330566,1.031559586524963,8.759123802185059,33.46685409545898
Austria,2007,Europe and Central Asia,Europe,Western Europe,High income,8296952.0,61128.55078125,29.65892028808594,1.088705658912659,8.570000648498535,33.63524627685547
Austria,2008,Europe and Central Asia,Europe,Western Europe,High income,8323253.0,61823.1015625,30.58908271789551,1.133648633956909,7.97159481048584,34.12325668334961
Austria,2009,Europe and Central Asia,Europe,Western Europe,High income,8345066.5,59450.02734375,30.38633728027344,1.131800651550293,8.020002365112305,33.67201614379883
Austria,2010,Europe and Central Asia,Europe,Western Europe,High income,8365092.0,60380.140625,31.42022514343262,1.192288875579834,7.728454113006592,34.05792999267578
Austria,2011,Europe and Central Asia,Europe,Western Europe,High income,8393270.0,61938.6171875,30.36252021789551,1.117980003356934,8.010801315307617,33.92029571533203
Austria,2012,Europe and Central Asia,Europe,Western Europe,High income,8431601.0,62044.21484375,30.94740867614746,1.147312879562378,7.819218158721924,34.14042663574219
Austria,2013,Europe and Central Asia,Europe,Western Europe,High income,8481406.0,61524.9609375,30.61091995239258,1.123039960861206,7.790000438690186,33.99028396606445
Austria,2014,Europe and Central Asia,Europe,Western Europe,High income,8547817.0,61507.37890625,31.04648971557617,1.168094992637634,8.040804862976074,33.94521713256836
Austria,2015,Europe and Central Asia,Europe,Western Europe,High income,8644039.0,61614.55859375,30.66548728942871,1.148603439331055,8.030000686645508,33.81425476074219
Austria,2016,Europe and Central Asia,Europe,Western Europe,High income,8737915.0,62242.3359375,30.72556495666504,1.147971391677856,7.82921838760376,33.62117004394531
Austria,2017,Europe and Central Asia,Europe,Western Europe,High income,8798778.0,63216.0,30.98949813842773,1.154510021209717,7.699999332427979,33.99682998657227
Austria,2018,Europe and Central Asia,Europe,Western Europe,High income,8841650.0,64471.6328125,29.98539543151855,1.094632387161255,7.98920202255249,33.64363098144531
Austria,2019,Europe and Central Asia,Europe,Western Europe,High income,8880876.0,65312.02734375,30.98104858398438,1.157616257667542,7.869999885559082,33.97907638549805
Austria,2020,Europe and Central Asia,Europe,Western Europe,High income,8921405.0,60931.94140625,30.39182662963867,1.109686255455017,7.840784549713135,34.01438140869141
Austria,2021,Europe and Central Asia,Europe,Western Europe,High income,8967057.0,63576.2421875,29.83084106445313,1.08286464214325,7.910789489746094,33.48031616210938
Austria,2022,Europe and Central Asia,Europe,Western Europe,High income,9064677.0,66294.71875,30.88295364379883,1.152924060821533,7.659999370574951,33.73942947387695
Azerbaijan,1995,Europe and Central Asia,Asia,Western Asia,Upper middle income,7719282.0,4147.974609375,41.26979827880859,1.996767997741699,5.069999694824219,39.19000244140625
Azerbaijan,2001,Europe and Central Asia,Asia,Western Asia,Upper middle income,8251771.5,6075.61474609375,42.63236999511719,2.152894973754883,5.35874605178833,40.09579849243164
Azerbaijan,2002,Europe and Central Asia,Asia,Western Asia,Upper middle income,8326133.0,6599.65771484375,33.7747802734375,1.375307083129883,8.233413696289062,36.22101974487305
Azerbaijan,2003,Europe and Central Asia,Asia,Western Asia,Upper middle income,8400530.0,7218.4716796875,35.0438117980957,1.46074378490448,7.642292499542236,36.67100143432617
Azerbaijan,2004,Europe and Central Asia,Asia,Western Asia,Upper middle income,8489874.0,7817.71630859375,34.78742599487305,1.452763795852661,8.033933639526367,36.68663024902344
Azerbaijan,2005,Europe and Central Asia,Asia,Western Asia,Upper middle income,8597248.0,9901.9267578125,34.74560546875,1.446455121040344,8.126997947692871,36.76118087768555
Azerbaijan,2015,Europe and Central Asia,Asia,Western Asia,Upper middle income,9752850.0,20694.779296875,15.16267490386963,0.5453355312347412,13.95139312744141,27.4654598236084
Azerbaijan,2018,Europe and Central Asia,Asia,Western Asia,Upper middle income,10039784.0,19798.833984375,19.21099090576172,0.6607202887535095,12.3587646484375,29.34426498413086
Burundi,1992,Sub-Saharan Africa,Africa,Eastern Africa,Low income,5858407.0,1412.060546875,49.15657806396484,3.053323745727539,4.671211242675781,40.78789520263672
Burundi,1999,Sub-Saharan Africa,Africa,Eastern Africa,Low income,6337155.0,1017.497802734375,55.90341567993164,4.664210796356201,2.479504108428955,43.24135208129883
Burundi,2006,Sub-Saharan Africa,Africa,Eastern Africa,Low income,7865547.0,954.1908569335938,49.00580215454102,2.972913980484009,5.511653423309326,41.25237655639648
Burundi,2014,Sub-Saharan Africa,Africa,Eastern Africa,Low income,10799785.0,977.765869140625,53.22646331787109,3.81930947303772,3.787726879119873,42.69437789916992
Burundi,2021,Sub-Saharan Africa,Africa,Eastern Africa,Low income,12965481.0,836.6655883789062,52.32539749145508,3.650518894195557,3.93999981880188,42.18999862670898
Belgium,1992,Europe and Central Asia,Europe,Western Europe,High income,10045987.0,43588.64453125,24.94558906555176,0.8365144729614258,9.510950088500977,31.51821327209473
Belgium,1996,Europe and Central Asia,Europe,Western Europe,High income,10156969.0,45720.65234375,28.40045928955078,1.017301917076111,8.589139938354492,32.82097625732422
Belgium,1997,Europe and Central Asia,Europe,Western Europe,High income,10181464.0,47340.4453125,26.87826728820801,0.9306929111480713,8.970000267028809,32.5578727722168
Belgium,2001,Europe and Central Asia,Europe,Western Europe,High income,10287004.0,51870.20703125,32.89750671386719,1.335532307624817,8.349166870117188,32.96117401123047
Belgium,2004,Europe and Central Asia,Europe,Western Europe,High income,10421292.0,54493.84375,28.31637191772461,1.003129124641418,8.499998092651367,33.05827331542969
Belgium,2005,Europe and Central Asia,Europe,Western Europe,High income,10478886.0,55453.18359375,30.76432037353516,1.174493670463562,8.369999885559082,32.82630920410156
Belgium,2006,Europe and Central Asia,Europe,Western Europe,High income,10548442.0,56494.69140625,29.28425598144531,1.071428298950195,8.599141120910645,32.93387603759766
Belgium,2007,Europe and Central Asia,Europe,Western Europe,High income,10625493.0,58143.421875,29.06592178344727,1.05232298374176,8.460000038146973,33.15144348144531
Belgium,2008,Europe and Central Asia,Europe,Western Europe,High income,10709708.0,57943.71484375,29.48329544067383,1.079726338386536,8.460847854614258,33.25630950927734
Belgium,2009,Europe and Central Asia,Europe,Western Europe,High income,10812935.0,56383.55859375,28.40979385375977,1.008031725883484,8.55914306640625,32.84261703491211
Belgium,2010,Europe and Central Asia,Europe,Western Europe,High income,10936626.0,57385.03515625,28.42386436462402,1.000447750091553,8.38167667388916,32.92538070678711
Belgium,2011,Europe and Central Asia,Europe,Western Europe,High income,11038631.0,57737.16015625,28.45705795288086,1.015205383300781,8.450844764709473,32.86412811279297
Belgium,2012,Europe and Central Asia,Europe,Western Europe,High income,11107518.0,57504.03125,28.30484771728516,1.006717681884766,8.389999389648438,32.84405517578125
Belgium,2013,Europe and Central Asia,Europe,Western Europe,High income,11160276.0,57408.4765625,27.91351318359375,0.9863076210021973,8.600857734680176,32.66083908081055
Belgium,2014,Europe and Central Asia,Europe,Western Europe,High income,11210119.0,58163.265625,27.86699295043945,0.9755661487579346,8.509149551391602,32.73054504394531
Belgium,2015,Europe and Central Asia,Europe,Western Europe,High income,11275335.0,58679.68359375,27.90547943115234,0.9791016578674316,8.549145698547363,32.76495742797852
Belgium,2016,Europe and Central Asia,Europe,Western Europe,High income,11332701.0,59080.1484375,27.81674957275391,0.9849358201026917,8.519999504089355,32.55695724487305
Belgium,2017,Europe and Central Asia,Europe,Western Europe,High income,11376581.0,59720.76171875,27.68130683898926,0.9761585593223572,8.539148330688477,32.52736663818359
